,func,input,result
182,Our Formula 0,(122),107940
183,Our Formula +1,(124),1905
184,Our Formula -1,(124),15
185,Our Formula 0,(124),53880
186,Our Formula +1,(126),2096
187,Our Formula -1,(126),0
188,Our Formula 0,(126),68212
189,Our Formula +1,(128),2609
190,Our Formula -1,(128),15
191,Our Formula 0,(128),60864
192,Our Formula +1,(130),2256
193,Our Formula -1,(130),0
194,Our Formula 0,(130),97584
195,Our Formula +1,(132),2470
196,Our Formula -1,(132),42
197,Our Formula 0,(132),39728
198,Our Formula +1,(134),2244
199,Our Formula -1,(134),0
200,Our Formula 0,(134),143682
201,Our Formula +1,(136),2924
202,Our Formula -1,(136),32
203,Our Formula 0,(136),68852
204,Our Formula +1,(138),2692
205,Our Formula -1,(138),0
206,Our Formula 0,(138),100532
207,Our Formula +1,(140),2642
208,Our Formula -1,(140),46
209,Our Formula 0,(140),54432
210,Our Formula +1,(142),2520
211,Our Formula -1,(142),0
212,Our Formula 0,(142),171430
213,Our Formula +1,(144),3798
214,Our Formula -1,(144),42
215,Our Formula 0,(144),56640
216,Our Formula +1,(146),2664
217,Our Formula -1,(146),0
218,Our Formula 0,(146),186552
219,Our Formula +1,(148),2718
220,Our Formula -1,(148),18
221,Our Formula 0,(148),93168
222,Our Formula +1,(150),3176
223,Our Formula -1,(150),0
224,Our Formula 0,(150),107824
225,Our Formula +1,(152),3648
226,Our Formula -1,(152),36
227,Our Formula 0,(152),97548
228,Our Formula +1,(154),3108
229,Our Formula -1,(154),0
230,Our Formula 0,(154),172452
231,Our Formula +1,(156),3438
232,Our Formula -1,(156),50
233,Our Formula 0,(156),67648
234,Our Formula +1,(158),3120
235,Our Formula -1,(158),0
236,Our Formula 0,(158),237198
237,Our Formula +1,(160),4478
238,Our Formula -1,(160),50
239,Our Formula 0,(160),95312
240,Our Formula +1,(162),3280
241,Our Formula -1,(162),0
242,Our Formula 0,(162),171680
243,Our Formula +1,(164),3340
244,Our Formula -1,(164),20
245,Our Formula 0,(164),127840
246,Our Formula +1,(166),3444
247,Our Formula -1,(166),0
248,Our Formula 0,(166),275602
249,Our Formula +1,(168),5184
250,Our Formula -1,(168),104
251,Our Formula 0,(168),77368
252,Our Formula +1,(170),3832
253,Our Formula -1,(170),0
254,Our Formula 0,(170),224648
255,Our Formula +1,(172),3675
256,Our Formula -1,(172),21
257,Our Formula 0,(172),148008
258,Our Formula +1,(174),4264
259,Our Formula -1,(174),0
260,Our Formula 0,(174),205232
261,Our Formula +1,(176),5604
262,Our Formula -1,(176),52
263,Our Formula 0,(176),145704
264,Our Formula +1,(178),3960
265,Our Formula -1,(178),0
266,Our Formula 0,(178),340648
267,Our Formula +1,(180),4324
268,Our Formula -1,(180),60
269,Our Formula 0,(180),90656
270,Our Formula +1,(182),4320
271,Our Formula -1,(182),0
272,Our Formula 0,(182),290520
273,Our Formula +1,(184),5336
274,Our Formula -1,(184),44
275,Our Formula 0,(184),176780
276,Our Formula +1,(186),4868
277,Our Formula -1,(186),0
278,Our Formula 0,(186),251812
279,Our Formula +1,(188),4393
280,Our Formula -1,(188),23
281,Our Formula 0,(188),194488
282,Our Formula +1,(190),4776
283,Our Formula -1,(190),0
284,Our Formula 0,(190),316704
285,Our Formula +1,(192),6684
286,Our Formula -1,(192),60
287,Our Formula 0,(192),137640
288,Our Formula +1,(194),4704
289,Our Formula -1,(194),0
290,Our Formula 0,(194),442272
291,Our Formula +1,(196),4776
292,Our Formula -1,(196),24
293,Our Formula 0,(196),192768
294,Our Formula +1,(198),5080
295,Our Formula -1,(198),0
296,Our Formula 0,(198),285980
297,Our Formula +1,(200),6300
298,Our Formula -1,(200),48
299,Our Formula 0,(200),189652
300,Our Formula +1,(202),5100
301,Our Formula -1,(202),0
302,Our Formula 0,(202),499900
303,Our Formula +1,(204),5854
304,Our Formula -1,(204),66
305,Our Formula 0,(204),157280
306,Our Formula +1,(206),5304
307,Our Formula -1,(206),0
308,Our Formula 0,(206),530502
309,Our Formula +1,(208),7762
310,Our Formula -1,(208),62
311,Our Formula 0,(208),246768
312,Our Formula +1,(210),6728
313,Our Formula -1,(210),0
314,Our Formula 0,(210),255352
315,Our Formula +1,(212),5590
316,Our Formula -1,(212),26
317,Our Formula 0,(212),281008
318,Our Formula +1,(214),5724
319,Our Formula -1,(214),0
320,Our Formula 0,(214),595402
321,Our Formula +1,(216),7344
322,Our Formula -1,(216),52
323,Our Formula 0,(216),198668
324,Our Formula +1,(218),5940
325,Our Formula -1,(218),0
326,Our Formula 0,(218),629748
327,Our Formula +1,(220),6422
328,Our Formula -1,(220),74
329,Our Formula 0,(220),231104
330,Our Formula +1,(222),6920
331,Our Formula -1,(222),0
332,Our Formula 0,(222),432640
333,Our Formula +1,(224),8512
334,Our Formula -1,(224),72
335,Our Formula 0,(224),287096
336,Our Formula +1,(226),6384
337,Our Formula -1,(226),0
338,Our Formula 0,(226),702352
339,Our Formula +1,(228),7302
340,Our Formula -1,(228),74
341,Our Formula 0,(228),222448
342,Our Formula +1,(230),6976
343,Our Formula -1,(230),0
344,Our Formula 0,(230),569864
345,Our Formula +1,(232),8468
346,Our Formula -1,(232),56
347,Our Formula 0,(232),361748
348,Our Formula +1,(234),7064
349,Our Formula -1,(234),0
350,Our Formula 0,(234),481528
351,Our Formula +1,(236),6931
352,Our Formula -1,(236),29
353,Our Formula 0,(236),389992
354,Our Formula +1,(238),7344
355,Our Formula -1,(238),0
356,Our Formula 0,(238),666672
357,Our Formula +1,(240),12232
358,Our Formula -1,(240),168
359,Our Formula 0,(240),214160
360,Our Formula +1,(242),7320
361,Our Formula -1,(242),0
362,Our Formula 0,(242),791280
363,Our Formula +1,(244),7410
364,Our Formula -1,(244),30
365,Our Formula 0,(244),431760
366,Our Formula +1,(246),8488
367,Our Formula -1,(246),0
368,Our Formula 0,(246),591752
369,Our Formula +1,(248),9672
370,Our Formula -1,(248),60
371,Our Formula 0,(248),444108
372,Our Formula +1,(250),7812
373,Our Formula -1,(250),0
374,Our Formula 0,(250),767188
375,Our Formula +1,(252),8298
376,Our Formula -1,(252),86
377,Our Formula 0,(252),272848
378,Our Formula +1,(254),8064
379,Our Formula -1,(254),0
380,Our Formula 0,(254),1000062
381,Our Formula +1,(256),10337
382,Our Formula -1,(256),31
383,Our Formula 0,(256),505728
